event_idx,event_id,file_name,station_id,sta_dist_km,phase_time_p,phase_time_s,p_polarity,phase_score_p,phase_score_s,noise_amp,p_amp,s_amp,n_channels,snr,sp_ratio,diting_polarity,diting_sharpness,p_from_ncedc,s_from_ncedc
2191,1012386,1012386_20221224T204253.mseed,BK.PETL.00.HH,31.02,2022-12-24 20:43:00.020000+00:00,2022-12-24 20:43:04.890000+00:00,,0.3773562610149383,0.909439504146576,140.297270027567,342.15862603356834,3014.0729754604577,3.0,2.4388117171940524,8.808993098904818,,,False,False
2191,1012386,1012386_20221224T204253.mseed,BK.RBOW.00.HH,27.02,2022-12-24 20:42:59.100000+00:00,2022-12-24 20:43:03.700000+00:00,,0.4431231915950775,0.7684004306793213,18.414872081181706,265.8900992042253,854.6145874684294,3.0,14.438878425657943,3.21416476215617,,,False,False
2191,1012386,1012386_20221224T204253.mseed,NC.KCT..HH,12.17,2022-12-24 20:42:57.633100+00:00,2022-12-24 20:43:01.373100+00:00,,0.9572159647941588,0.5806371569633484,34.47080347583608,306.6282198718236,939.7787183178046,3.0,8.8953023705052,3.064880064563692,,,False,False
2191,1012386,1012386_20221224T204253.mseed,NC.KPR.01.HN,40.57,2022-12-24 20:43:01.330000+00:00,2022-12-24 20:43:07.490000+00:00,,0.9313696622848512,0.5703500509262085,1.2142389818806292,5.909439700375389,10.315160939618025,3.0,4.866784701000763,1.7455395879515905,,,False,False
2191,1012386,1012386_20221224T204253.mseed,PB.B045..EH,24.71,2022-12-24 20:42:58.868400+00:00,2022-12-24 20:43:03.388400+00:00,,0.9687183499336244,0.7697579860687256,12.232294493672832,332.73888196302784,605.6162411527077,3.0,27.201673580957145,1.8200945966392967,,,False,False
2191,1012386,1012386_20221224T204253.mseed,PB.B046..EH,26.34,2022-12-24 20:42:59.248400+00:00,2022-12-24 20:43:03.808400+00:00,,0.9775323867797852,0.8978829383850098,8.80822722556057,167.72852630732848,1001.7749424357794,3.0,19.042256973184973,5.972597294512862,,,False,False
2191,1012386,1012386_20221224T204253.mseed,PB.B047..EH,34.62,2022-12-24 20:43:00.298400+00:00,2022-12-24 20:43:05.668400+00:00,,0.9611229300498962,0.9506086707115172,6.141641776524389,205.004222606536,774.0721589147549,3.0,33.37938454667569,3.775883974840993,,,False,False
2191,1012386,1012386_20221224T204253.mseed,PB.B932..EH,31.34,2022-12-24 20:42:59.748400+00:00,2022-12-24 20:43:04.678400+00:00,,0.9619065523147584,0.9497252702713012,7.598220488547682,49.58340456379034,702.3325883959429,3.0,6.525660138255303,14.164670509714067,,,False,False
2837,1013366,1013366_20221230T102006.mseed,NC.KCT..HH,12.16,2022-12-30 10:20:10.623100+00:00,2022-12-30 10:20:14.333100+00:00,,0.645520031452179,0.3440770804882049,59.2432565631058,179.62741833974036,568.1536748334559,3.0,3.0320314709303933,3.1629563019097224,,,False,False
2837,1013366,1013366_20221230T102006.mseed,NC.KPR.01.HN,40.57,2022-12-30 10:20:14.340000+00:00,2022-12-30 10:20:20.520000+00:00,,0.9011290669441224,0.7551056146621704,0.9625692634360924,2.853677460940611,5.561358901395111,3.0,2.9646463577631925,1.9488393406457405,,,False,False
2837,1013366,1013366_20221230T102006.mseed,NP.1023.10.HN,2.87,2022-12-30 10:20:10.260000+00:00,2022-12-30 10:20:14+00:00,,0.6960383057594299,0.9443790912628174,6.861367048087979,15.263716567790228,184.54004859199745,3.0,2.224588257823007,12.090112376786216,,,False,False
2837,1013366,1013366_20221230T102006.mseed,NP.1586.10.HN,9.86,2022-12-30 10:20:10.660000+00:00,2022-12-30 10:20:14.510000+00:00,,0.8788284063339233,0.957120716571808,3.013584978781235,8.300009585647432,58.652697388365866,3.0,2.754197954956674,7.066581885614863,,,False,False
2837,1013366,1013366_20221230T102006.mseed,PB.B045..EH,24.7,2022-12-30 10:20:11.878400+00:00,2022-12-30 10:20:16.348400+00:00,,0.9778098464012146,0.8037927746772766,13.77741960055016,186.0563225871929,381.5789735980785,3.0,13.50443900102769,2.050878832237783,,,False,False
2837,1013366,1013366_20221230T102006.mseed,PB.B046..EH,26.33,2022-12-30 10:20:12.248400+00:00,2022-12-30 10:20:16.798400+00:00,,0.9809288382530212,0.8921183943748474,9.44367461139202,92.1900869021319,539.4731068573858,3.0,9.76209904467927,5.851747459898647,,,False,False
2837,1013366,1013366_20221230T102006.mseed,PB.B047..EH,34.61,2022-12-30 10:20:13.288400+00:00,2022-12-30 10:20:18.668400+00:00,,0.950467884540558,0.944815754890442,12.394991862666668,94.63836172707444,455.511608598317,3.0,7.635209669812068,4.813181465587467,,,False,False
2837,1013366,1013366_20221230T102006.mseed,PB.B932..EH,31.34,2022-12-30 10:20:12.768400+00:00,2022-12-30 10:20:17.658400+00:00,,0.924421489238739,0.9527519345283508,10.18303878927509,25.641824462362216,345.5184260441706,3.0,2.5180916024172,13.474798821407274,,,False,False
